iso_year,iso_week,weekend_days,bank_holiday_days_any,week_start,route_id,region,difficulty,distance_km,duration_hours,predicted_bookings_count,prediction_version,year
2026,1,2,2,2025-12-29,1,lake_district,hard,12.0,5.0,1.11,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,2,lake_district,hard,9.0,4.0,1.483,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,3,lake_district,hard,7.0,4.0,1.409,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,4,lake_district,hard,8.0,4.0,1.273,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,5,lake_district,hard,13.0,5.5,1.205,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,6,lake_district,moderate,14.0,5.0,1.23,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,7,lake_district,hard,10.0,4.0,1.426,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,8,lake_district,hard,14.0,6.0,1.325,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,9,lake_district,hard,17.0,7.0,1.275,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,10,lake_district,moderate,14.0,4.0,1.402,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,11,wales,severe,12.0,5.0,1.11,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,12,wales,hard,9.0,4.0,1.233,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,13,wales,hard,11.5,4.5,1.159,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,14,wales,moderate,7.0,3.5,1.194,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,15,wales,moderate,14.5,6.0,1.181,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,16,wales,moderate,8.6,3.3,1.179,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,17,wales,moderate,9.5,2.5,1.152,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,18,wales,moderate,10.2,4.0,1.219,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,19,wales,moderate,15.0,6.0,1.093,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,20,scotland,hard,20.5,7.5,1.103,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,21,scotland,severe,9.0,4.0,1.244,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,22,scotland,hard,11.0,4.8,1.279,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,23,scotland,hard,17.5,6.1,1.189,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,24,scotland,severe,20.0,7.2,1.109,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,25,scotland,hard,13.7,5.3,1.255,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,26,scotland,hard,21.4,7.9,1.112,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,27,scotland,severe,12.0,5.7,1.113,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,28,scotland,severe,16.4,6.0,1.101,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,29,scotland,severe,20.0,6.5,1.081,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,30,peak_district,moderate,15.2,5.0,1.083,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,31,peak_district,easy,15.5,4.0,1.457,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,32,peak_district,moderate,10.7,3.6,1.248,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,33,peak_district,moderate,12.74,3.2,1.215,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,34,peak_district,easy,9.3,2.5,1.24,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,35,peak_district,moderate,15.0,3.8,1.259,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,36,peak_district,easy,10.16,3.5,1.4,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,37,peak_district,moderate,18.0,5.6,1.17,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,38,peak_district,easy,15.0,4.6,1.318,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,39,peak_district,easy,11.14,3.0,1.342,weekly_xgb_v1,2026
2026,1,2,2,2025-12-29,40,wales,moderate,11.18,4.0,1.273,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,1,lake_district,hard,12.0,5.0,1.083,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,2,lake_district,hard,9.0,4.0,1.295,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,3,lake_district,hard,7.0,4.0,1.174,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,4,lake_district,hard,8.0,4.0,1.097,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,5,lake_district,hard,13.0,5.5,1.159,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,6,lake_district,moderate,14.0,5.0,1.183,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,7,lake_district,hard,10.0,4.0,1.313,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,8,lake_district,hard,14.0,6.0,1.23,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,9,lake_district,hard,17.0,7.0,1.176,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,10,lake_district,moderate,14.0,4.0,1.296,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,11,wales,severe,12.0,5.0,1.094,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,12,wales,hard,9.0,4.0,1.109,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,13,wales,hard,11.5,4.5,1.051,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,14,wales,moderate,7.0,3.5,1.092,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,15,wales,moderate,14.5,6.0,1.104,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,16,wales,moderate,8.6,3.3,1.111,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,17,wales,moderate,9.5,2.5,1.034,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,18,wales,moderate,10.2,4.0,1.121,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,19,wales,moderate,15.0,6.0,0.997,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,20,scotland,hard,20.5,7.5,0.947,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,21,scotland,severe,9.0,4.0,1.05,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,22,scotland,hard,11.0,4.8,1.112,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,23,scotland,hard,17.5,6.1,1.011,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,24,scotland,severe,20.0,7.2,0.997,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,25,scotland,hard,13.7,5.3,1.079,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,26,scotland,hard,21.4,7.9,0.917,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,27,scotland,severe,12.0,5.7,1.022,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,28,scotland,severe,16.4,6.0,0.944,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,29,scotland,severe,20.0,6.5,0.974,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,30,peak_district,moderate,15.2,5.0,0.966,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,31,peak_district,easy,15.5,4.0,1.099,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,32,peak_district,moderate,10.7,3.6,1.14,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,33,peak_district,moderate,12.74,3.2,1.065,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,34,peak_district,easy,9.3,2.5,1.099,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,35,peak_district,moderate,15.0,3.8,1.078,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,36,peak_district,easy,10.16,3.5,1.244,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,37,peak_district,moderate,18.0,5.6,1.027,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,38,peak_district,easy,15.0,4.6,1.155,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,39,peak_district,easy,11.14,3.0,1.196,weekly_xgb_v1,2026
2026,2,2,0,2026-01-05,40,wales,moderate,11.18,4.0,1.18,weekly_xgb_v1,2026
2026,3,2,0,2026-01-12,1,lake_district,hard,12.0,5.0,1.137,weekly_xgb_v1,2026
2026,3,2,0,2026-01-12,2,lake_district,hard,9.0,4.0,1.357,weekly_xgb_v1,2026
2026,3,2,0,2026-01-12,3,lake_district,hard,7.0,4.0,1.215,weekly_xgb_v1,2026
2026,3,2,0,2026-01-12,4,lake_district,hard,8.0,4.0,1.134,weekly_xgb_v1,2026
2026,3,2,0,2026-01-12,5,lake_district,hard,13.0,5.5,1.175,weekly_xgb_v1,2026
2026,3,2,0,2026-01-12,6,lake_district,moderate,14.0,5.0,1.177,weekly_xgb_v1,2026
2026,3,2,0,2026-01-12,7,lake_district,hard,10.0,4.0,1.313,weekly_xgb_v1,2026
2026,3,2,0,2026-01-12,8,lake_district,hard,14.0,6.0,1.234,weekly_xgb_v1,2026
2026,3,2,0,2026-01-12,9,lake_district,hard,17.0,7.0,1.18,weekly_xgb_v1,2026
2026,3,2,0,2026-01-12,10,lake_district,moderate,14.0,4.0,1.296,weekly_xgb_v1,2026
