date_key,year,quarter,month,iso_week,is_weekend,route_id,distance_km,duration_hours,is_bank_holiday_england_wales,is_bank_holiday_scotland,is_bank_holiday_northern_ireland,is_bank_holiday_any,is_bank_holiday_division,is_closed_day,region_lake_district,region_peak_district,region_scotland,region_wales,difficulty_easy,difficulty_hard,difficulty_moderate,difficulty_severe,season_autumn,season_spring,season_summer,season_winter,day_name_Friday,day_name_Monday,day_name_Saturday,day_name_Sunday,day_name_Thursday,day_name_Tuesday,day_name_Wednesday,predicted_bookings_count,prediction_version
20260101,2026,1,1,1,False,1,12.0,5.0,True,True,True,True,1,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,2,9.0,4.0,True,True,True,True,1,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,3,7.0,4.0,True,True,True,True,1,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,4,8.0,4.0,True,True,True,True,1,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,5,13.0,5.5,True,True,True,True,1,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,6,14.0,5.0,True,True,True,True,1,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,7,10.0,4.0,True,True,True,True,1,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,8,14.0,6.0,True,True,True,True,1,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,9,17.0,7.0,True,True,True,True,1,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,10,14.0,4.0,True,True,True,True,1,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,11,12.0,5.0,True,True,True,True,1,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,12,9.0,4.0,True,True,True,True,1,1,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,13,11.5,4.5,True,True,True,True,1,1,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,14,7.0,3.5,True,True,True,True,1,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,15,14.5,6.0,True,True,True,True,1,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,16,8.6,3.3,True,True,True,True,1,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
20260101,2026,1,1,1,False,17,9.5,2.5,True,True,True,True,1,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0.0,baseline_xgb_v1
