date_key,date,year,quarter,month,month_name,iso_year,iso_week,day_name,is_weekend,season,route_id,region,difficulty,distance_km,duration_hours,route_lat,route_lon,bookings_count,party_size_total,party_size_avg,discount_bookings,discount_rate,sales_ex_vat,vat_amount,sales_inc_vat,staff_cost,margin_amount,margin_pct_weighted,is_bank_holiday_england_wales,is_bank_holiday_scotland,is_bank_holiday_northern_ireland,is_bank_holiday_any,day,iso_day
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,1,lake_district,hard,12.0,5.0,54.61579,-3.22929,1,4,4.0,0,0.0,446.77,89.35,536.12,140.21,223.38,0.4999888085592139,False,True,False,True,2,2
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,2,lake_district,hard,9.0,4.0,54.37236,-3.05791,2,5,2.5,1,0.5,598.37,119.67999999999999,718.05,243.63,232.08999999999997,0.38787038120226613,False,True,False,True,2,2
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,3,lake_district,hard,7.0,4.0,54.57311,-3.18919,2,5,2.5,0,0.0,568.79,113.75999999999999,682.54,194.25,265.71000000000004,0.46714956310764966,False,True,False,True,2,2
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,5,lake_district,hard,13.0,5.5,54.4112,-3.23604,1,3,3.0,0,0.0,414.83,82.97,497.79,148.39,161.0,0.38811079237277923,False,True,False,True,2,2
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,8,lake_district,hard,14.0,6.0,54.68751,-2.88428,2,3,1.5,0,0.0,411.24,82.25,493.49,156.37,145.14,0.3529325941056317,False,True,False,True,2,2
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,9,lake_district,hard,17.0,7.0,54.58429,-2.99732,2,6,3.0,0,0.0,831.04,166.2,997.26,307.28,370.77,0.446151809780516,False,True,False,True,2,2
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,11,wales,severe,12.0,5.0,52.96836,-3.04169,1,1,1.0,0,0.0,143.54,28.71,172.25,59.41,57.88,0.4032325484185593,False,True,False,True,2,2
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,12,wales,hard,9.0,4.0,52.81764,-3.83219,1,5,5.0,0,0.0,553.61,110.72,664.33,155.98,248.64,0.449124835172775,False,True,False,True,2,2
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,15,wales,moderate,14.5,6.0,51.80516,-3.9858,4,11,2.75,0,0.0,1355.37,271.08,1626.44,474.07,596.97,0.440447995750238,False,True,False,True,2,2
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,16,wales,moderate,8.6,3.3,52.03482,-3.49316,1,1,1.0,0,0.0,99.42,19.88,119.3,36.05,32.03,0.32216857775095553,False,True,False,True,2,2
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,17,wales,moderate,9.5,2.5,53.22514,-3.14349,2,3,1.5,0,0.0,288.75,57.75,346.5,123.30000000000001,107.47,0.3721904761904762,False,True,False,True,2,2
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,18,wales,moderate,10.2,4.0,52.13951,-4.32351,1,4,4.0,1,1.0,355.29,71.06,426.34,136.07,130.49,0.36727743533451546,False,True,False,True,2,2
20240102,2024-01-02,2024,1,1,January,2024,1,Tuesday,False,winter,20,scotland,hard,20.5,7.5,56.62231,-3.4868,1,1,1.0,0,0.0,152.96,30.59,183.55,45.73,73.52,0.4806485355648535,False,True,False,True,2,2
